Indicator,Country Coverage,Year Coverage,Flag Continuity,Flag Country Coverage,Flag Year Coverage,Year Range,Percentage of Complete Records,Percentage of Complete Records in Last Five Years,Mean,Median,Standard Deviation,Minimum,Maximum,REMOVED FROM CLIAR_Indicator_selection-v2
bs_bti_16_csp,137,9,1,1,1,1990-2022,16%,36%,4.776724138,5,2.039551024,1,10,Removed (To CLIAR considered sheet). VDEM better coverage
bs_bti_q1_2,137,9,1,1,1,1990-2022,16%,36%,7.838070629,8,1.71443096,2,10,
bs_bti_q12_1,137,9,1,1,1,1990-2022,16%,36%,4.695090439,5,1.859287502,1,10,
bs_bti_q15_1,137,9,1,1,1,1990-2022,16%,36%,4.688793103,5,1.853256423,1,10,
bs_bti_q2_1,137,9,1,1,1,1990-2022,16%,36%,5.904392765,6,2.867834037,1,10,
bs_bti_q2_3,137,9,1,1,1,1990-2022,16%,36%,6.182601206,6,2.709702959,1,10,
bs_bti_q2_4,137,9,1,1,1,1990-2022,16%,36%,5.585701981,6,2.45401196,1,10,
bs_bti_q3_1,137,9,1,1,1,1990-2022,16%,36%,5.146425495,5,2.636139364,1,10,
bs_bti_q3_2,137,9,1,1,1,1990-2022,16%,36%,5.043927649,5,2.309791693,1,10,
bs_bti_q7_2,137,9,1,1,1,1990-2022,16%,36%,5.362618432,5,2.318281476,1,10,
bs_bti_q8_1,137,9,1,1,1,1990-2022,16%,36%,7.066322136,8,2.165141788,1,10,
bs_bti_q8_2,137,9,1,1,1,1990-2022,16%,36%,6.491817399,7,2.035921435,1,10,Removed (To CLIAR considered sheet)
bs_bti_si,137,9,1,1,1,1990-2022,16%,36%,5.659397071,5.75,2.08681571,1.27,9.95,Removed (To CLIAR considered sheet)
fh_fiw_cl_rating,197,33,1,1,1,1990-2022,85%,88%,3.426232114,3,1.881201905,1,7,Removed (To CLIAR considered sheet)
fh_fiw_pr_rating,197,33,1,1,1,1990-2022,85%,88%,3.46772655,3,2.19917548,1,7,Removed (To CLIAR considered sheet)
fraser_efw_capital_controls,165,23,1,1,1,1990-2022,45%,44%,3.696345746,3.08,3.014919784,0,10,Removed (To CLIAR considered sheet)
fraser_efw_credit_market_regulations,164,23,1,1,1,1990-2022,45%,44%,8.028800361,8.33,1.681309364,0,10,
