Indicator,Country Coverage,Year Coverage,Flag Continuity,Flag Country Coverage,Flag Year Coverage,Year Range,Percentage of Complete Records,Percentage of Complete Records in Last Five Years,Mean,Median,Standard Deviation,Minimum,Maximum,REMOVED FROM CLIAR_Indicator_selection-v2
fraser_efw_freedom_of_foreigners_to_visit,165,16,1,1,1,1990-2022,33%,44%,5.148661258,6.31,3.608487289,0,10,
fraser_efw_freedom_to_own_foreign_currency_bank_accounts,165,23,1,1,1,1990-2022,45%,45%,6.501803969,10,4.175600058,0,10,
fraser_efw_judicial_independence,165,23,1,1,1,1990-2022,50%,44%,5.527789389,5.4,1.573635528,1.52,8.85,
fraser_efw_legal_enforcement_of_contracts,164,23,1,1,1,1990-2022,49%,44%,4.612660099,4.63,1.656920463,0,8.36,
heritage_business_freedom,186,11,1,1,1,1990-2022,27%,82%,63.37099653,64,16.28904548,0,100,
heritage_financial_freedom,184,11,1,1,1,1990-2022,27%,80%,48.66161616,50,19.19229679,0,90,
heritage_investment_freedom,184,11,1,1,1,1990-2022,27%,81%,56.05697151,60,22.80668219,0,95,
idea_gsod_v_21_05,173,33,1,1,1,1990-2022,76%,78%,0.438647257,0.33,0.322869627,0,1,
idea_gsod_v_22_07,71,12,1,0,1,1990-2022,10%,30%,0.582611637,0.66,0.249700253,0,1,
idea_gsod_v_22_08,71,12,1,0,1,1990-2022,10%,30%,0.497023004,0.51,0.228817067,0,1,
idea_gsod_v_22_14,173,33,1,1,1,1990-2022,76%,78%,0.596614159,0.63,0.20427279,0,1,
idea_gsod_v_22_16,173,33,1,1,1,1990-2022,76%,78%,0.666771681,0.74,0.239890485,0,1,
index,225,33,1,1,1,1990-2022,100%,100%,3697.5,3697.5,2134.608278,1,7394,
oecd_epl_regular,43,7,1,0,1,1990-2022,4%,8%,2.244451887,2.340628147,0.487385354,0.849206388,3.103652954,
oecd_epl_temporary,38,7,1,0,1,1990-2022,4%,7%,1.785898276,1.768725276,0.731818004,0.27078706,3.722098112,
oecd_pmr_ccr,47,4,0,0,1,1990-2022,2%,0%,2.109448276,2.02,0.9281192,-0.49,4.55,
oecd_pmr_crp,47,4,0,0,1,1990-2022,2%,0%,2.430763889,2.45,0.994726712,0.38,5.3,
oecd_pmr_dcb,47,4,0,0,1,1990-2022,2%,0%,1.619160839,1.4,1.107343921,-1.21,5.48,
oecd_pmr_gin,47,4,0,0,1,1990-2022,2%,0%,3.307655172,3.33,1.224166958,0.58,5.67,
oecd_pmr_gov,47,2,0,0,1,1990-2022,1%,0%,3.819534884,3.75,1.370538672,0.75,6,
oecd_pmr_obr,47,4,0,0,1,1990-2022,2%,0%,1.063517241,0.92,0.736699218,0,4.65,
oecd_pmr_pct,47,4,0,0,1,1990-2022,2%,0%,2.097931034,1.95,1.131435848,0.25,5.22,
oecd_pmr_rpi,47,4,0,0,1,1990-2022,2%,0%,1.672152778,1.56,0.604721705,0.64,4.07,
oecd_pmr_scp,47,4,0,0,1,1990-2022,2%,0%,3.282847222,3.2,1.118432134,1.02,6,
oecd_pmr_xbr,47,4,0,0,1,1990-2022,2%,0%,0.580689655,0.25,0.702995234,0.01,3.53,
oecdwbg_pmr_7,8,3,1,0,0,1990-2022,0%,1%,1.78625,1.88,0.621609374,1,2.75,
rise_ee_1,140,12,1,1,1,1990-2022,23%,51%,43.97832903,41.11111069,34.96388173,0,100,
rise_ee_2,140,12,1,1,1,1990-2022,23%,51%,51.07072458,58.33333206,36.63678749,0,100,
rise_ee_3,140,12,1,1,1,1990-2022,23%,51%,34.4929077,25,33.64989901,0,100,
rise_ee_4,140,12,1,1,1,1990-2022,23%,51%,31.14391253,25,33.05624123,0,100,
rise_ee_4_3,140,12,1,1,1,1990-2022,23%,51%,37.59456265,0,43.08004096,0,100,
rise_ee_5,140,12,1,1,1,1990-2022,23%,51%,29.15331946,22.5,22.14200962,0,95.83333588,
rise_ee_6,140,12,1,1,1,1990-2022,23%,51%,16.70212758,10,17.60150709,0,75,
rise_ee_7,140,12,1,1,1,1990-2022,23%,51%,33.70639604,26.38888931,34.1023516,0,100,
rise_ee_8,140,12,1,1,1,1990-2022,23%,51%,32.41735608,25,34.57364828,0,100,
rise_ee_9,140,12,1,1,1,1990-2022,23%,51%,24.63849491,12,27.55236268,0,89.59999847,
rise_re_1,140,12,1,1,1,1990-2022,23%,51%,48.60047281,60,30.67417061,0,100,
rise_re_2,140,12,1,1,1,1990-2022,23%,51%,42.66794703,41.66666794,30.73455605,0,100,
rise_re_3,140,12,1,1,1,1990-2022,23%,51%,31.50989952,25,27.36335472,0,95,
rise_re_4,140,12,1,1,1,1990-2022,23%,51%,30.55181237,20,29.25622462,0,100,
rise_re_7,140,12,1,1,1,1990-2022,23%,51%,32.03309693,0,41.99072119,0,100,
romelli_cbi_central_bank_independence,154,28,1,1,1,1990-2022,56%,0%,0.586502061,0.5605,0.248208148,0.0405,0.987,
rwb_pfi_index,178,20,1,1,1,1990-2022,46%,80%,48.17684257,53.23,27.70220342,-10,142,
spi_census_and_survey_index,190,16,1,1,1,1990-2022,41%,34%,0.526593695,0.534,0.257867133,0,1,
spi_std_and_methods,190,4,1,1,1,1990-2022,10%,34%,0.494129288,0.4,0.291176667,0,1,
vdem_core_v2caassemb,179,33,1,1,1,1990-2022,79%,81%,0.780008654,0.9965,1.578282344,-3.341,3.39,
vdem_core_v2clacfree,179,33,1,1,1,1990-2022,79%,81%,0.922267688,1.163,1.536105711,-3.238,3.73,
vdem_core_v2clacjstm,179,33,1,1,1,1990-2022,79%,81%,0.850538166,0.82,1.360939685,-2.912,3.849,
vdem_core_v2clacjstw,179,33,1,1,1,1990-2022,79%,81%,0.824176621,0.837,1.334299377,-2.822,3.932,
vdem_core_v2cldiscm,179,33,1,1,1,1990-2022,79%,81%,0.935897363,1.16,1.500292365,-3.323,3.609,
vdem_core_v2cldiscw,179,33,1,1,1,1990-2022,79%,81%,0.874849651,1.101,1.417171216,-3.454,3.655,
vdem_core_v2clrspct,179,33,1,1,1,1990-2022,79%,81%,0.412003641,0.234,1.48181679,-3.617,4.046,
vdem_core_v2cseeorgs,179,33,1,1,1,1990-2022,79%,81%,0.985667041,1.331,1.444471098,-3.28,3.698,
vdem_core_v2csreprss,179,33,1,1,1,1990-2022,79%,81%,0.913573388,1.127,1.496584621,-3.759,3.324,
vdem_core_v2dlengage,179,33,1,1,1,1990-2022,79%,81%,0.82059122,0.976,1.241642586,-3.065,3.564,
vdem_core_v2exbribe,179,33,1,1,1,1990-2022,79%,81%,-0.0467642,-0.336,1.531039605,-2.943,3.863,
vdem_core_v2juaccnt,179,33,1,1,1,1990-2022,79%,81%,0.583442096,0.578,1.180900847,-2.764,3.804,
vdem_core_v2juhcind,179,33,1,1,1,1990-2022,79%,81%,0.328833589,0.531,1.423316674,-3.421,3.474,
vdem_core_v2juncind,179,33,1,1,1,1990-2022,79%,81%,0.474326221,0.623,1.360899175,-3.369,3.234,
vdem_core_v2lgqugen,174,33,1,1,1,1990-2022,77%,78%,0.690501227,0,1.318740081,0,4,
vdem_core_v2peapsecon,179,33,1,1,1,1990-2022,79%,81%,0.498079537,0.42,1.412675778,-2.93,3.64,
vdem_core_v2peapsgen,179,33,1,1,1,1990-2022,79%,81%,0.728787096,0.603,1.330866052,-3.417,3.164,
vdem_core_v2peapspol,179,33,1,1,1,1990-2022,79%,81%,0.99049319,1.132,1.266768533,-2.84,3.17,
vdem_core_v2peasjgen,179,33,1,1,1,1990-2022,79%,81%,1.227095233,1.148,1.150486934,-2.831,3.494,
vdem_core_v2peasjpol,179,33,1,1,1,1990-2022,79%,81%,0.641137589,0.594,1.444614553,-2.711,3.619,
vdem_core_v2peasjsoecon,179,33,1,1,1,1990-2022,79%,81%,0.831081342,0.8775,1.236411297,-2.447,3.405,
vdem_core_v2pepwrgen,179,33,1,1,1,1990-2022,79%,81%,0.858251523,0.932,1.077935821,-2.801,3.69,
vdem_core_v2pepwrses,179,33,1,1,1,1990-2022,79%,81%,0.459853667,0.634,1.011346818,-2.84,3.042,
vdem_core_v2pepwrsoc,179,33,1,1,1,1990-2022,79%,81%,0.765512915,0.91,1.143328663,-2.706,3.321,
vdem_core_v2stcritrecadm,179,33,1,1,1,1990-2022,78%,81%,0.428780808,0.386,1.100564894,-2.899,3.474,
vdem_core_v2x_civlib,179,33,1,1,1,1990-2022,79%,81%,0.674458942,0.745,0.257594625,0.015,0.977,
vdem_core_v2x_corr,179,33,1,1,1,1990-2022,79%,81%,0.508539156,0.552,0.298092776,0.002,0.971,
vdem_core_v2x_cspart,179,33,1,1,1,1990-2022,79%,81%,0.644936873,0.706,0.247922935,0.023,0.989,
vdem_core_v2x_gender,179,33,1,1,1,1990-2022,78%,81%,0.689685517,0.734,0.200372546,0.035,0.965,
vdem_core_v2xcl_acjst,179,33,1,1,1,1990-2022,79%,81%,0.643212728,0.687,0.271612494,0.019,0.997,
vdem_core_v2xcl_prpty,179,33,1,1,1,1990-2022,79%,81%,0.703815892,0.7564,0.225815748,0.004,0.97,
vdem_core_v2xlg_legcon,179,33,1,1,1,1990-2022,78%,80%,0.577915616,0.667,0.302619184,0.024,0.989,
wb_aspire_adequacy_benefits,121,22,1,0,1,1990-2022,6%,4%,27.8568617,24.96562767,40.95138528,0.455201328,811.5479126,
wb_aspire_coverage,125,22,1,0,1,1990-2022,6%,4%,49.35034991,53.04612732,25.47341922,0.514473617,99.89907837,
wb_edstats_se_prm_tcaq_zs,151,24,1,1,1,1990-2022,23%,28%,85.6384794,92.58,17.23107541,14.68,100,
wb_enterprisesurveys_ic_frm_corr_corr11,146,15,1,0,1,1990-2022,4%,5%,33.61047297,31.55,20.45936175,0,97.4,
wb_enterprisesurveys_ic_frm_corr_crime9,146,15,1,0,1,1990-2022,4%,5%,15.40237288,11.9,12.08262489,0,51.5,
wb_enterprisesurveys_ic_frm_infra_in12,145,15,1,0,1,1990-2022,4%,5%,34.54644068,31.1,19.82642483,0.2,88.4,
wb_enterprisesurveys_ic_frm_obs_obst1,146,15,1,0,1,1990-2022,4%,5%,15.36114865,12.95,10.56830939,0,54,
wb_enterprisesurveys_ic_frm_reg_bus5,146,15,1,0,1,1990-2022,4%,5%,13.94628378,11.35,9.909956629,0,48.9,
wb_enterprisesurveys_ic_frm_reg_reg5,145,15,1,0,1,1990-2022,4%,5%,21.44372881,19.7,13.89883589,0.4,71.5,
wb_enterprisesurveys_ic_frm_trd_tr9,146,15,1,0,1,1990-2022,4%,5%,16.14324324,13.45,11.13784912,0.4,58.4,
wb_enterprisesurveys_ic_frm_wrkf_wk9,145,15,1,0,1,1990-2022,4%,5%,10.5559322,8.2,9.39827512,0.2,63.2,
wb_girg_6,186,1,1,1,0,1990-2022,3%,17%,2.475935829,2.25,1.579891638,0,5,
wb_gtmi_cgsi,198,2,1,1,1,1990-2022,5%,36%,0.527914573,0.52,0.236631318,0,0.99,
wb_gtmi_gtei,198,2,1,1,1,1990-2022,5%,36%,0.530929648,0.55,0.278855867,0.04,1,
wb_gtmi_i_13,198,1,1,1,0,1990-2022,3%,18%,5.56281407,6,1.519178446,0,6,
wb_gtmi_i_14,198,1,1,1,0,1990-2022,3%,18%,3.324120603,0,4.247604328,0,9,
wb_gtmi_i_5,198,1,1,1,0,1990-2022,3%,18%,5.788944724,6,0.977359043,0,6,
wb_gtmi_i_6,198,1,1,1,0,1990-2022,3%,18%,4.432160804,6,2.149505664,0,6,
wb_gtmi_i_7,198,1,1,1,0,1990-2022,3%,18%,5.51758794,6,1.579042739,0,6,
wb_gtmi_i_8,198,1,1,1,0,1990-2022,3%,18%,5.638190955,6,1.399765039,0,6,
wb_gtmi_psdi,198,2,1,1,1,1990-2022,5%,36%,0.629698492,0.68,0.266433501,0,1,
wb_lpi_lp_lpi_cust_xq,167,6,1,1,1,1990-2022,13%,14%,2.648360129,2.49,0.604482,1.11,4.21,
wb_pefa_pi_2016_05,61,7,1,0,1,1990-2022,1%,4%,2.803030303,3,0.88090333,1,4,
wb_pefa_pi_2016_09,61,7,1,0,1,1990-2022,1%,4%,1.939393939,1,1.213751817,1,4,
wb_pefa_pi_2016_10_1,61,7,1,0,1,1990-2022,1%,4%,1.818181818,2,0.782679636,1,4,
wb_pefa_pi_2016_11,60,7,1,0,1,1990-2022,1%,4%,1.823076923,1.5,0.658067538,1,4,
wb_pefa_pi_2016_12,61,7,1,0,1,1990-2022,1%,4%,1.863636364,1.5,0.598366074,1,3,
wb_pefa_pi_2016_13,61,7,1,0,1,1990-2022,1%,4%,2.916666667,3,0.875228908,1,4,
wb_pefa_pi_2016_14,61,7,1,0,1,1990-2022,1%,4%,2.484848485,2.5,0.868108895,1,4,
wb_pefa_pi_2016_15,61,7,1,0,1,1990-2022,1%,4%,2.25,2,0.851469318,1,4,
wb_pefa_pi_2016_16,61,7,1,0,1,1990-2022,1%,4%,1.893939394,1.5,0.815782548,1,4,
wb_pefa_pi_2016_17,61,7,1,0,1,1990-2022,1%,4%,2.954545455,3,0.753082245,1,4,
wb_pefa_pi_2016_19,61,7,1,0,1,1990-2022,1%,4%,2.310606061,2.5,0.732567411,1,3.5,
wb_pefa_pi_2016_20,61,7,1,0,1,1990-2022,1%,4%,2.795454545,2.5,0.907139514,1.5,4,
wb_pefa_pi_2016_21,61,7,1,0,1,1990-2022,1%,4%,2.916666667,3,0.721021355,1.5,4,
wb_pefa_pi_2016_22,61,7,1,0,1,1990-2022,1%,4%,1.704545455,1.5,0.911369522,1,4,
wb_pefa_pi_2016_23,61,7,1,0,1,1990-2022,1%,4%,2.227272727,2.5,0.804706436,1,4,
wb_pefa_pi_2016_24,61,7,1,0,1,1990-2022,1%,4%,2.46969697,2.5,0.931825289,1,4,
wb_pefa_pi_2016_25,61,7,1,0,1,1990-2022,1%,4%,3.007575758,3,0.741580559,1.5,4,
wb_pefa_pi_2016_26,61,7,1,0,1,1990-2022,1%,4%,2.053030303,1.75,0.744873701,1,4,
wb_pefa_pi_2016_27,61,7,1,0,1,1990-2022,1%,4%,2.537878788,2.5,0.969974647,1,4,
wb_pefa_pi_2016_28,61,7,1,0,1,1990-2022,1%,4%,2.121212121,1.5,0.886048297,1,4,
wb_pefa_pi_2016_29,61,7,1,0,1,1990-2022,1%,4%,2.060606061,2,0.641603469,1,4,
wb_pefa_pi_2016_30,61,7,1,0,1,1990-2022,1%,4%,2.03030303,1.5,0.769009292,1,4,
wb_wbl_sg_law_indx,189,32,1,1,1,1990-2022,82%,68%,65.07587993,66.25,18.69940925,17.5,100,
wb_wwbi_bi_emp_frml_pb_ed_zs,48,20,1,0,1,1990-2022,4%,0%,0.757355072,0.75,0.144614462,0.23,0.99,
wb_wwbi_bi_emp_frml_pb_he_zs,48,20,1,0,1,1990-2022,4%,0%,0.614814815,0.65,0.221358939,0.05,0.99,
wb_wwbi_bi_emp_frml_pb_zs,100,21,1,0,1,1990-2022,11%,4%,0.332583851,0.3,0.132567572,0.04,0.85,
wb_wwbi_bi_pwk_pubs_tt_ed_zs,60,20,1,0,1,1990-2022,5%,0%,0.67819242,0.73,0.21788644,0.09,0.98,
wb_wwbi_bi_pwk_pubs_tt_he_zs,61,20,1,0,1,1990-2022,5%,1%,0.503982808,0.5,0.208077985,0.05,1,
wb_wwbi_bi_pwk_pubs_tt_zs,121,21,1,0,1,1990-2022,12%,3%,0.505337143,0.51,0.163707669,0,0.84,
wb_wwbi_bi_wag_totl_pb_zs,184,21,1,1,1,1990-2022,49%,48%,26.95992859,25.96,8.71000745,2.14,100,
wdi_bmkltdinvwdgdzs,195,33,1,1,1,1990-2022,72%,73%,2.763312351,0.19562351,30.12244693,-138.5186462,1509.002075,
wdi_bncabxokagdzs,198,33,1,1,1,1990-2022,73%,74%,-2.750138181,-2.91699338,13.89899231,-240.4946136,311.7609253,
wdi_bxkltdinvwdgdzs,199,33,1,1,1,1990-2022,82%,79%,7.270206045,2.383249402,53.06094407,-1303.108765,1709.827271,
wdi_bxtrfpwkrdtgdzs,198,33,1,1,1,1990-2022,75%,83%,4.240969301,1.468906164,7.922658596,0,167.433075,
wdi_dtdoddectgnzs,121,32,1,1,1,1990-2022,49%,42%,62.93056848,46.51819229,67.77438649,0.238604054,1111.269897,
wdi_dtdoddstcirzs,111,32,1,1,1,1990-2022,44%,36%,856.3660731,30.75133705,14279.71136,0,527646.8125,
wdi_dtdoddstcxpzs,119,32,1,1,1,1990-2022,43%,39%,24.94762385,13.86025047,66.37817056,0,1441.062012,
wdi_dtdoddstczs,121,32,1,1,1,1990-2022,51%,44%,11.83023681,8.635000229,12.14924817,0,88.98280334,
wdi_dtodaodatgnzs,161,32,1,1,1,1990-2022,59%,48%,6.989274311,3.333487988,10.03769743,-2.172047138,137.5876923,
wdi_dttdsdectexzs,121,32,1,1,1,1990-2022,45%,40%,15.07332193,11.17363834,14.35112928,0.003494808,156.8581543,
wdi_dttdsdectgnzs,121,32,1,1,1,1990-2022,49%,43%,4.725419058,3.084606409,5.886198822,6.07E-04,102.2222137,
wdi_dttdsdppggnzs,122,32,1,1,1,1990-2022,49%,43%,2.74597451,1.842688799,3.362208413,0,52.61410522,
wdi_dttdsmlatpgzs,122,32,1,1,1,1990-2022,49%,43%,44.94253052,44.29004288,26.66726421,0,100,
wdi_enatmco2eppgdkd,182,31,1,1,1,1990-2022,74%,49%,0.251517732,0.192972951,0.222110386,0,2.084849834,
wdi_firestotldtzs,111,32,1,1,1,1990-2022,44%,36%,63.34710123,28.61943817,201.6584461,0.009438698,3840.101074,
wdi_gcdodtotlgdzs,120,32,1,0,1,1990-2022,25%,22%,62.49594052,49.57897186,64.46600076,-1.170725703,745.9959717,
wdi_gcnldtotlgdzs,155,32,1,1,1,1990-2022,44%,43%,-1.746481068,-1.941307545,10.40401458,-203.719101,238.5769043,
wdi_gcrevsoclzs,156,32,1,1,1,1990-2022,46%,43%,13.47429268,6.714128494,14.88309678,0,60.03723907,
wdi_gcrevxgrtgdzs,156,32,1,1,1,1990-2022,46%,44%,28.51991974,24.77444839,28.93097803,1.10E-04,391.5297546,
wdi_gctaxtotlgdzs,157,32,1,1,1,1990-2022,46%,44%,18.22575463,16.57213974,14.73052166,7.87E-05,177.2815094,
wdi_gcxpntotlgdzs,155,32,1,1,1,1990-2022,45%,44%,29.364914,25.53574562,29.44611522,1.84E-04,378.4924011,
wdi_iqcpabregxq,87,18,1,0,1,1990-2022,18%,33%,3.135363169,3,0.660271545,1,5.5,
wdi_iqcpadebtxq,87,18,1,0,1,1990-2022,18%,33%,3.33052091,3.5,0.888559332,1,6,
wdi_iqcpaeconxq,87,18,1,0,1,1990-2022,18%,33%,3.380019567,3.5,0.683183379,1,5.5,
wdi_iqcpaenvrxq,87,18,1,0,1,1990-2022,18%,33%,3.130961115,3,0.576633504,1,4.5,
wdi_iqcpafinqxq,87,18,1,0,1,1990-2022,18%,33%,3.170579604,3,0.601387433,1,4.5,
wdi_iqcpafinsxq,87,18,1,0,1,1990-2022,18%,33%,2.95891416,3,0.585369339,1,4.5,
wdi_iqcpafispxq,87,18,1,0,1,1990-2022,18%,33%,3.244680851,3.5,0.699616497,1,5,
wdi_iqcpagndrxq,87,18,1,0,1,1990-2022,18%,33%,3.343360235,3.5,0.664169742,1,5,
wdi_iqcpahresxq,87,18,1,0,1,1990-2022,18%,33%,3.528980191,3.5,0.614081745,1,4.5,
wdi_iqcpamacrxq,87,18,1,0,1,1990-2022,18%,33%,3.564196625,3.5,0.699870344,1,5.5,
wdi_iqcpapadmxq,87,18,1,0,1,1990-2022,18%,33%,2.926999266,3,0.537497346,1,4,
wdi_iqcpapresxq,87,18,1,0,1,1990-2022,18%,33%,3.392516508,3.5,0.620562762,1,4.5,
wdi_iqcpapropxq,87,18,1,0,1,1990-2022,18%,33%,2.887380778,3,0.653108994,1,4.5,
wdi_iqcpaprotxq,85,18,1,0,1,1990-2022,18%,33%,3.040221402,3,0.584169507,1,4.5,
wdi_iqcpapubsxq,87,18,1,0,1,1990-2022,18%,33%,3.053998535,3.099999905,0.499401776,1.399999976,4.199999809,
wdi_iqcparevnxq,87,18,1,0,1,1990-2022,18%,33%,3.413059428,3.5,0.51870132,2,4.5,
wdi_iqcpasocixq,86,18,1,0,1,1990-2022,18%,33%,3.286156112,3.400000095,0.499446815,1.5,4.300000191,
wdi_iqcpastrcxq,87,18,1,0,1,1990-2022,18%,33%,3.294008281,3.333333254,0.526083363,1.166666627,5,
wdi_iqcpatradxq,87,18,1,0,1,1990-2022,18%,33%,3.78760088,4,0.636482888,1.5,6,
wdi_iqcpatranxq,87,18,1,0,1,1990-2022,18%,33%,2.873074101,3,0.690315757,1,4.5,
wdi_msmiltotltfzs,172,30,1,1,1,1990-2022,66%,30%,1.720595231,1.046764672,2.129035465,0,33.51528168,
wdi_msmilxpndgdzs,163,32,1,1,1,1990-2022,62%,54%,2.275155986,1.64347887,2.873790261,3.66E-04,117.349823,
wdi_necongovtzs,188,33,1,1,1,1990-2022,74%,73%,16.86534791,15.99816608,8.80240027,0.911234617,147.7188873,
wdi_necontotlzs,189,33,1,1,1,1990-2022,74%,74%,81.09170596,79.82365417,18.11072464,12.17320538,236.8595581,
wdi_nedabtotlzs,187,33,1,1,1,1990-2022,73%,72%,104.6319463,102.8658981,17.48009476,40.11084747,264.7659912,
wdi_neexpgnfszs,196,33,1,1,1,1990-2022,77%,77%,40.47412072,33.04299164,30.85680118,0.005376759,433.8359985,
wdi_negdiftotzs,182,33,1,1,1,1990-2022,72%,71%,22.46392541,21.7793417,7.912463263,-2.424357891,93.54746246,
wdi_negditotlzs,187,33,1,1,1,1990-2022,74%,72%,23.64509886,22.7213707,8.622596267,-12.88008976,79.40107727,
wdi_neimpgnfszs,196,33,1,1,1,1990-2022,77%,77%,46.50489857,39.76569366,28.62340106,0.015622473,429.3591003,
wdi_netrdgnfszs,196,33,1,1,1,1990-2022,77%,77%,86.97901927,75.78236389,56.59271407,0.020999232,863.1951294,
wdi_nvindmanfzs,203,33,1,1,1,1990-2022,76%,78%,12.46692277,11.83134079,7.302937297,0,49.87942505,
wdi_nvsrvtotlzs,204,33,1,1,1,1990-2022,79%,84%,53.78516039,53.7344017,13.1941833,6.448067665,96.20487976,
wdi_nygdpdeflkdzg,213,33,1,1,1,1990-2022,88%,92%,31.41399642,4.222149849,436.1973559,-31.56591415,26765.85742,
wdi_nygdpdeflkdzgad,212,33,1,1,1,1990-2022,88%,91%,31.35827491,4.214650393,439.5836479,-31.56591415,26765.85742,
wdi_nygdpdeflzs,213,33,1,1,1,1990-2022,89%,92%,152.7252464,86.37896347,2042.013235,2.68E-10,147418.6406,
wdi_nygdpdeflzsad,212,33,1,1,1,1990-2022,89%,91%,153.1723256,86.58194733,2044.050944,2.68E-10,147418.6406,
wdi_nygdpminrrtzs,214,32,1,1,1,1990-2022,87%,74%,0.678821317,9.52E-04,2.247969179,0,35.25183868,
wdi_nygdpmktpkd,211,33,1,1,1,1990-2022,88%,91%,2.98E+11,19112076507,1.34E+12,21562110.05,2.10E+13,
wdi_nygdpmktpkdzg,213,33,1,1,1,1990-2022,88%,92%,3.278708495,3.525298595,6.463964411,-64.04710388,149.9729614,
wdi_nygdpmktpppkd,194,33,1,1,1,1990-2022,83%,87%,4.67E+11,46731877546,1.67E+12,24821643.44,2.57E+13,
wdi_nygdpngasrtzs,201,32,1,1,1,1990-2022,82%,70%,0.561938698,0,2.49884933,0,55.00876999,
wdi_nygdppcapkd,210,33,1,1,1,1990-2022,88%,91%,13967.98538,4734.026367,20948.83177,189.2822113,204190.9688,
wdi_nygdppcapkdzg,213,33,1,1,1,1990-2022,88%,91%,1.852883847,2.042910457,6.305661608,-64.42584229,140.4800415,
wdi_nygdppcapppkd,194,33,1,1,1,1990-2022,83%,87%,18255.05598,10395.02832,20539.58157,436.3764038,157602.4844,
wdi_nygdppetrrtzs,200,32,1,1,1,1990-2022,82%,70%,3.49686713,0.009740744,9.165293034,0,82.77689362,
wdi_nygdptotlrtzs,214,32,1,1,1,1990-2022,87%,74%,6.581844586,1.66734767,10.7453496,0,88.59234619,
wdi_nygdstotlzs,189,33,1,1,1,1990-2022,74%,74%,18.90829404,20.17634773,18.11072467,-136.8595581,87.82679749,
wdi_nygnpmktpkd,200,33,1,1,1,1990-2022,57%,64%,4.05E+11,35500034117,1.59E+12,56981785.64,2.10E+13,
wdi_nygnpmktpkdzg,164,33,1,1,1,1990-2022,57%,63%,3.308896945,3.524089575,5.61731138,-61.33892822,49.68388367,
wdi_nygnpmktpppkd,194,33,1,1,1,1990-2022,57%,64%,5.85E+11,76632100103,1.91E+12,63578076.57,2.47E+13,
wdi_nygnppcapkd,200,33,1,1,1,1990-2022,57%,64%,12901.98565,4307.929688,17879.1437,189.518631,138201.2188,
wdi_nygnppcapkdzg,167,33,1,1,1,1990-2022,57%,64%,1.958452204,2.217184424,5.612337047,-61.95199966,61.31461716,
wdi_nygnppcapppkd,194,33,1,1,1,1990-2022,57%,64%,18059.56084,10347.82813,18901.69678,415.6825562,123094.2422,
wdi_nygnsictrzs,178,33,1,1,1,1990-2022,63%,63%,22.0724965,20.98123646,15.5894563,-236.2419434,372.9881592,
wdi_per_allspadq_pop_tot,121,22,1,0,1,1990-2022,6%,4%,27.81797646,24.85648155,40.9797235,0.455201328,811.5479126,
wdi_per_allspcov_pop_tot,125,22,1,0,1,1990-2022,6%,4%,49.31456928,52.92469025,25.44368603,0.514473617,99.89907837,
wdi_per_sa_allsaadq_pop_tot,109,21,1,0,1,1990-2022,5%,4%,10.53749806,8.277215004,8.783273598,0.0447172,81.9911499,
