"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EPT_V1","Version 1 (1985-2019)","1990","1990","IDX","Index","0","Units",,,0.875,,
"AUS","Australia","EPT_V1","Version 1 (1985-2019)","1991","1991","IDX","Index","0","Units",,,0.875,,
"AUS","Australia","EPT_V1","Version 1 (1985-2019)","1992","1992","IDX","Index","0","Units",,,0.875,,
"AUS","Australia","EPT_V1","Version 1 (1985-2019)","1993","1993","IDX","Index","0","Units",,,0.875,,
"AUS","Australia","EPT_V1","Version 1 (1985-2019)","1994","1994","IDX","Index","0","Units",,,0.875,,
"AUS","Australia","EPT_V1","Version 1 (1985-2019)","1995","1995","IDX","Index","0","Units",,,0.875,,
"AUS","Australia","EPT_V1","Version 1 (1985-2019)","1996","1996","IDX","Index","0","Units",,,0.875,,
"AUS","Australia","EPT_V1","Version 1 (1985-2019)","1997","1997","IDX","Index","0","Units",,,0.875,,
"AUS","Australia","EPT_V1","Version 1 (1985-2019)","1998","1998","IDX","Index","0","Units",,,0.875,,
"AUS","Australia","EPT_V1","Version 1 (1985-2019)","1999","1999","IDX","Index","0","Units",,,0.875,,
"AUS","Australia","EPT_V1","Version 1 (1985-2019)","2000","2000","IDX","Index","0","Units",,,0.875,,
"AUS","Australia","EPT_V1","Version 1 (1985-2019)","2001","2001","IDX","Index","0","Units",,,0.875,,
"AUS","Australia","EPT_V1","Version 1 (1985-2019)","2002","2002","IDX","Index","0","Units",,,0.875,,
"AUS","Australia","EPT_V1","Version 1 (1985-2019)","2003","2003","IDX","Index","0","Units",,,0.875,,
"AUS","Australia","EPT_V1","Version 1 (1985-2019)","2004","2004","IDX","Index","0","Units",,,0.875,,
"AUS","Australia","EPT_V1","Version 1 (1985-2019)","2005","2005","IDX","Index","0","Units",,,0.875,,
"AUS","Australia","EPT_V1","Version 1 (1985-2019)","2006","2006","IDX","Index","0","Units",,,0.875,,
