country_code,country_name,country_group,wjp_rol_2,vdem_core_v2clacjstm,vdem_core_v2clacjstw,vdem_core_v2peapsgen,vdem_core_v2peapspol,vdem_core_v2peapsecon,vdem_core_v2peasjgen,vdem_core_v2peasjpol,vdem_core_v2peasjsoecon,wb_pefa_pi_2016_20,wb_aspire_adequacy_benefits,wjp_rol_7_7,wb_pefa_pi_2016_29,bs_bti_q2_3,rise_re_4,bs_bti_si,wb_pefa_pi_2016_05,wb_pefa_pi_2016_17,rise_ee_9,heritage_business_freedom,fraser_efw_capital_controls,rise_re_7,spi_census_and_survey_index,romelli_cbi_central_bank_independence,wjp_rol_7_6,wjp_rol_7_5,fh_fiw_cl_rating,vdem_core_v2x_cspart,bs_bti_q7_2,wjp_rol_3_4,oecd_pmr_2018_3_3,wjp_rol_1,wb_gtmi_cgsi,fraser_efw_credit_market_regulations,wjp_rol_8_2,wjp_rol_8_1,wjp_rol_8_4,vdem_core_v2stcritrecadm,vdem_core_v2cseeorgs,vdem_core_v2csreprss,wb_pefa_pi_2016_13,oecd_pmr_2018_1_3,wjp_rol_4_3,wb_lpi_lp_lpi_cust_xq,bs_bti_q15_1,oecd_epl_regular,oecd_epl_temporary,rise_ee_2,rise_ee_8,vdem_core_v2dlengage,bs_bti_q12_1,vdem_core_v2exbribe,wb_pefa_pi_2016_22,oecd_pmr_2018_6,wjp_rol_6_6,wb_pefa_pi_2016_30,idea_gsod_v_21_05,wb_pefa_pi_2016_27,heritage_financial_freedom,rise_ee_6,wb_enterprisesurveys_ic_frm_obs_obst1,wb_enterprisesurveys_ic_frm_reg_bus5,wb_enterprisesurveys_ic_frm_corr_corr11,wb_enterprisesurveys_ic_frm_trd_tr9,wb_enterprisesurveys_ic_frm_wrkf_wk9,wb_enterprisesurveys_ic_frm_reg_reg5,wb_enterprisesurveys_ic_frm_corr_crime9,wb_pefa_pi_2016_10,bs_bti_q8_2,wb_pefa_pi_2016_15,bs_bti_q2_1,wjp_rol_4_6,vdem_core_v2clacfree,wjp_rol_4_7,wjp_rol_4_5,vdem_core_v2cldiscm,vdem_core_v2cldiscw,fraser_efw_freedom_of_foreigners_to_visit,wjp_rol_4_4,vdem_core_v2caassemb,idea_gsod_v_22_08,fraser_efw_freedom_to_own_foreign_currency_bank_accounts,wjp_rol_4_8,oecd_pmr_2018_1_4,oecd_pmr_2018_1_2,wb_gtmi_gtei,vdem_core_v2juhcind,rise_ee_5,rise_ee_3,rise_ee_4,rise_re_3,bs_bti_q3_2,wb_wwbi_bi_pwk_pubs_tt_zs,wb_pefa_pi_2016_26,wb_pefa_pi_2016_25,heritage_investment_freedom,wb_pefa_pi_2016_28,wb_gtmi_i_8,vdem_core_v2juaccnt,wjp_rol_2_2,rise_re_1,vdem_core_v2xlg_legcon,wb_pefa_pi_2016_18,vdem_core_v2lgqugen,vdem_core_v2juncind,wb_pefa_pi_2016_14,wb_pefa_pi_2016_16,rise_ee_7,bs_bti_q8_1,wb_pefa_pi_2016_10_1,rise_ee_1,wb_pefa_pi_2016_23,wjp_rol_7_1,wb_enterprisesurveys_ic_frm_infra_in12,rise_re_2,vdem_core_v2x_corr,fh_fiw_pr_rating,vdem_core_v2pepwrgen,vdem_core_v2pepwrsoc,vdem_core_v2pepwrses,wb_pefa_pi_2016_21,rwb_pfi_index,oecd_pmr_2018_2_1,wb_pefa_pi_2016_24,vdem_core_v2xcl_prpty,wb_pefa_pi_2016_09,wb_pefa_pi_2016_12,wb_pefa_pi_2016_11,rise_ee_4_3,wb_gtmi_psdi,wjp_rol_3_1,wjp_rol_6,wb_pefa_pi_2016_19,wjp_rol_3_2,vdem_core_v2clrspct,oecd_pmr_2018_1_1,bs_bti_q3_1,wb_aspire_coverage,spi_std_and_methods,bs_bti_q1_2,oecd_pmr_2018_2_2,vdem_core_v2x_gender
AFG,Afghanistan,0,0.16499999999999998,0.2714982990681852,0.26336985490079956,0.22668287494301775,0.2972712146422629,0.24021308980213094,0.3047905138339921,0.3181674565560821,0.23212576896787424,0.4,NA,0.3466666666666667,0.16666666666666666,0.37037037037037035,0.01,0.2139016897081413,0.3333333333333333,0.3333333333333333,0.20089286056404218,0.48100000000000004,NA,0.01,0.233,NA,0.5478260869565218,0.37528089887640453,0.16666666666666666,0.5157349896480331,0.2222222222222222,0.35652173913043483,NA,0.3230769230769231,0.38383838383838387,NA,0.3594936708860759,0.23414634146341462,0.17078651685393262,0.3301741722893457,0.4793637145313843,0.5728928420160949,0.16666666666666666,NA,0.20506329113924046,0.19999999999999998,0.2592592592592593,NA,NA,0.6666666412353516,0.01,0.5058078141499472,0.2222222222222222,0.4010285042609462,0.01,NA,0.3,0.16666666666666666,0.01,0.5,0.1111111111111111,0.2222222137451172,NA,NA,NA,NA,NA,NA,NA,0.01,0.3333333333333333,0.5,0.2592592592592593,0.2510204081632653,0.417910447761194,0.5521739130434783,0.3777777777777777,0.4516445470282746,0.43570122380081594,NA,0.5516483516483517,0.5066409151686229,NA,NA,0.288,NA,NA,0.28125000000000006,0.513183466279913,0.15652173497681368,0.7083333587646484,0.01,0.13157894736842105,0.2222222222222222,NA,0.5,0.2,0.10526315789473684,0.16666666666666666,1,0.364190012180268,0.1217391304347826,0.6,0.4587219343696028,0.2,1,0.30964713009238226,1,0.01,0.02777777671813965,0.37037037037037035,0.01,0.8888888549804688,0.16666666666666666,0.380952380952381,NA,0.3333333206176758,0.72218782249742,0.26666666666666666,0.31702357109844403,0.3394391903102704,0.3348520911254675,0.6,0.44282894736842104,NA,0.8333333333333334,0.47577639751552797,0.01,0.25,0.16666666666666666,0.01,0.525,0.16046511627906979,0.23380281690140844,0.2,0.376,0.2557223019705076,NA,0.2962962962962963,NA,0.35,0.5416666666666666,NA,0.36752688172043013
AFE,Africa Eastern and Southern,1,0.3175,0.5386925011093033,0.5024578027835357,0.46397204072329434,0.5097337770382695,0.35646879756468797,0.6062134387351779,0.3723380726698262,0.4634313055365687,0.4,0.027429164754055463,0.52,0.5,0.3333333333333333,0.3916666603088379,0.370199692780338,0.3333333333333333,0.6666666666666666,0.01,0.499,0.154,0.0675,0.5583333335,NA,0.5108695652173914,0.3910112359550562,0.43333333333333335,0.6997929606625259,0.3333333333333333,0.5347826086956523,0.1111111111111111,0.37179487179487186,0.393939393939394,0.7551666666666667,0.37721518987341773,0.32621951219512196,0.45168539325842705,0.47484701082692604,0.5714961306964746,0.5733163913595933,0.6666666666666666,0.6734566477743609,0.2835443037974683,0.40483870967741936,0.2962962962962963,NA,NA,0.1666666603088379,0.01,0.5400663750188566,0.2592592592592593,0.38119306494269767,0.01,0.45293295868834255,0.42,0.16666666666666666,0.33,0.3333333333333333,0.4444444444444444,0.01,0.5453703703703705,0.7280163599182004,0.696611909650924,0.7689655172413793,0.9547619047619048,0.7855133614627285,0.8310679611650484,0.16666666666666666,0.4444444444444444,0.16666666666666666,0.40740740740740744,0.23877551020408166,0.5855051664753157,0.523913043478261,0.6577777777777777,0.545066358915176,0.5400337600225067,0.6666666666666667,0.43406593406593413,0.5401129104145002,0.533,0.5,0.4426666666666667,0.2258064880000599,0.26045127651548305,0.3359375,0.48935460478607684,0.16630434341286454,0.14583333015441896,0.01,0.2357456131985313,0.3333333333333333,0.5376984126984128,0.16666666666666666,0.2,0.5526315789473684,0.5,1,0.4739951278928136,0.42173913043478267,0.6,0.6150259067357513,0.4,0.225,0.526048765712555,0.3333333333333333,0.16666666666666666,0.03972222328186035,0.6296296296296297,0.3333333333333333,0.5388888883590698,0.5,0.373015873015873,0.7329931972789117,0.6197916507720946,0.5546955624355006,0.39999999999999997,0.5783238329995379,0.5718931475029037,0.544236654199252,0.4,0.47164473684210523,0.7593692750527252,0.16666666666666666,0.636231884057971,0.01,0.25,0.16666666666666666,0.01,0.5025,0.1813953488372093,0.3352112676056338,0.6,0.42,0.44807516638392275,0.35087715952019943,0.2222222222222222,0.21280039789156846,0.375,0.75,0.6364695439160377,0.7760215053763442
AFW,Africa Western and Central,1,0.24,0.5090667061085639,0.4910719573586023,0.5308615711897888,0.5682029950083195,0.35292237442922375,0.6152094861660079,0.3761769352290679,0.4362952836637047,0.4,0.011247373128472595,0.47666666666666674,0.16666666666666666,0.5925925925925926,0.1833333396911621,0.48463901689708144,0.6666666666666666,0.41666666666666663,0.01,0.4898,0.154,0.01,0.47433333325000004,NA,0.4211956521739131,0.4382022471910113,0.44999999999999996,0.7956521739130435,0.3333333333333333,0.4211956521739131,NA,0.37179487179487175,0.3232323232323232,0.769,0.3575949367088608,0.24634146341463414,0.501123595505618,0.4035462105758669,0.6797793063915163,0.6415501905972045,0.41666666666666663,NA,0.3164556962025316,0.3419354838709677,0.3333333333333333,NA,NA,0.6666666412353516,0.25,0.6240458591039373,0.3333333333333333,0.25386423743755515,0.01,NA,0.4125,0.16666666666666666,0.33,0.16666666666666666,0.4444444444444444,0.01,0.43148148148148147,0.7535787321063395,0.715605749486653,0.603448275862069,0.9023809523809524,0.5731364275668074,0.6815533980582523,0.16666666666666666,0.5,0.25,0.5555555555555556,0.2933673469387755,0.6922502870264065,0.5951086956521738,0.7499999999999999,0.6355885747259088,0.6444225629483753,0.18466666666666667,0.48901098901098905,0.5756499777150498,0.514,0.01,0.44533333333333336,NA,NA,0.26562500000000006,0.45579405366207393,0.36521738161256523,0.25,0.01,0.2236842105263158,0.37037037037037035,NA,0.16666666666666666,0.6,0.6105263157894736,0.16666666666666666,1,0.44599573690621197,0.3760869565217391,0.6,0.4803108808290155,0.4,0.25,0.5483870967741936,0.3333333333333333,0.16666666666666666,0.2847222185134888,0.7777777777777778,0.3333333333333333,0.6666666412353516,0.16666666666666666,0.39153439153439157,0.4138321995464853,0.5208333206176757,0.807843137254902,0.41666666666666663,0.5853489446926514,0.5946075991372158,0.5628017681060864,0.4,0.5036710526315789,NA,0.41666666666666663,0.7641821946169772,0.01,0.25,0.16666666666666666,0.01,0.31500000000000006,0.12790697674418605,0.39436619718309857,0.2,0.398,0.4296881117055983,NA,0.37037037037037035,0.2009099217626567,0.2875,0.75,NA,0.7578494623655914
ALB,Albania,0,0.25,0.6579500073953556,0.6805152502220906,0.7404345844096643,0.6950415973377704,0.5760121765601218,0.6988774703557312,0.3065086887835703,0.6561517429938483,NA,NA,0.5546666666666668,NA,0.9629629629629629,0.3666666793823242,0.6716589861751152,NA,NA,0.5803571527405663,0.685,0.462,0.5,0.6003333335000001,NA,0.49347826086956526,0.46516853932584273,0.6666666666666666,0.6438923395445135,0.7777777777777778,0.4782608695652174,NA,0.376923076923077,0.6666666666666666,0.9063333333333332,0.3721518987341772,0.39999999999999997,0.5707865168539327,0.4262670641769967,0.7247348810547435,0.755414372441056,NA,NA,0.5189873417721519,0.4,0.5185185185185186,NA,NA,0.5,0.4166666793823242,0.5704329461457234,0.4444444444444444,0.24451954158095798,NA,NA,0.3225,NA,0.33,NA,0.7777777777777778,0.08333333015441895,0.9425925925925926,0.6543967280163598,0.5544147843942505,0.8741379310344828,0.8809523809523809,0.5977496483825598,0.22330097087378642,NA,0.6296296296296297,NA,0.6666666666666666,0.5918367346938775,0.6120838117106774,0.5108695652173914,0.8622222222222222,0.7100403923831505,0.709298072865382,0.8593333333333334,0.5208791208791209,0.7129995543009954,NA,1,0.37866666666666665,NA,NA,0.6770833333333333,0.6201305293691082,0.21739130521316383,0.6875000190734863,0.5,0.5526315789473685,0.4444444444444444,NA,NA,NA,0.7368421052631579,NA,1,0.6192448233861145,0.26956521739130435,0.8,0.8288082901554404,NA,0.5,0.6026957443586249,NA,NA,0.5555555725097656,0.7777777777777778,NA,0.8888888549804688,NA,0.49206349206349215,0.5147392290249434,0.4583333206176758,0.7110423116615067,0.6666666666666666,0.6448004929902944,0.6936784469885514,0.4014620877252635,NA,0.5082105263157896,NA,NA,0.8403726708074534,NA,NA,NA,0.01,0.86,0.42093023255813955,0.3408450704225352,NA,0.446,0.5374135456087694,NA,0.40740740740740744,NA,0.8,0.875,NA,0.9113978494623657
DZA,Algeria,0,0.3625000000000001,0.506996006507913,0.5119040568551969,0.7059413462999544,0.6659567387687187,0.6264231354642315,0.7178814229249011,0.48328593996840435,0.5534859876965139,NA,NA,0.4666666666666668,NA,0.4444444444444444,0.3,0.3951612903225807,NA,NA,0.40178572112808436,0.5834,0.025666666666666664,0.5,0.42466666675,NA,0.45108695652173914,0.7359550561797754,0.3333333333333333,0.37267080745341613,0.2962962962962963,0.4728260869565218,NA,0.3942307692307693,0.4090909090909091,0.5763333333333334,0.4177215189873418,0.21341463414634151,0.6179775280898876,0.5194727757727915,0.35414158784752076,0.3907101510659325,NA,NA,0.46518987341772156,0.3290322580645161,0.3333333333333333,NA,NA,0.8333333587646484,0.6666666412353516,0.5333836174385277,0.5185185185185186,0.28131060828680576,NA,NA,0.503125,NA,0.33,NA,0.3333333333333333,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.7037037037037037,NA,0.40740740740740744,0.4336734693877551,0.4826061997703789,0.3804347826086957,0.19999999999999998,0.5665897287939988,0.523843015895344,0.05133333333333333,0.3736263736263737,0.48902094785321654,NA,0.5,0.4766666666666666,NA,NA,0.39062500000000006,0.25688179840464104,0.45652172701570654,0.875,0.5,0.47807018882349916,0.3333333333333333,NA,NA,NA,0.3157894736842105,NA,1,0.3992691839220463,0.5353260869565217,0.8,0.30901554404145076,NA,0.75,0.30958655156746934,NA,NA,0.7222222518920899,0.5555555555555556,NA,0.8222222137451172,NA,0.5753968253968255,NA,0.6250000190734863,0.7058823529411764,0.16666666666666666,0.5322446464335234,0.570565787290526,0.5963957837470248,NA,0.41298684210526315,NA,NA,0.7836438923395446,NA,NA,NA,0.5,0.5249999999999999,0.16569767441860467,0.41901408450704225,NA,0.355,0.33702205402583846,NA,0.3333333333333333,NA,0.35,0.75,NA,0.7397849462365591
ASM,American Samoa,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AND,Andorra,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3666666665,NA,NA,NA,1,NA,NA,NA,NA,NA,0.22222222222222224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23958333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.5597368421052632,NA,NA,NA,NA,NA,NA,NA,0.605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGO,Angola,0,0.3375000000000001,0.4520041413992013,0.47275688480900213,0.511533201641088,0.4642262895174709,0.3515981735159817,0.5577865612648221,0.3739652448657188,0.38489405331510596,NA,0.06326199496221174,0.52,NA,0.3333333333333333,0.43333332061767577,0.370199692780338,NA,NA,0.01,0.499,0.231,0.01,0.5663333335,NA,0.3043478260869566,0.17696629213483148,0.3,0.39772256728778466,0.2222222222222222,0.5353260869565217,NA,0.3108974358974359,0.4242424242424243,0.683,0.3259493670886076,0.2865853658536585,0.3567415730337079,0.40345206339243683,0.46294067067927774,0.5490328956656784,NA,NA,0.22151898734177214,0.14838709677419357,0.2222222222222222,NA,NA,0.1666666603088379,0.01,0.37510936792879773,0.2222222222222222,0.427740229209521,NA,NA,0.296875,NA,0.33,NA,0.4444444444444444,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.4444444444444444,NA,0.2962962962962963,0.17346938775510207,0.4680252583237658,0.38858695652173914,0.5444444444444444,0.5422100403923831,0.5248839499226333,0.04433333333333333,0.3873626373626374,0.5504085574208885,0.568,0.16666666666666669,0.33666666666666667,NA,NA,0.453125,0.34680203045685276,0.1271739096686611,0.01,0.01,0.19736842105263158,0.2962962962962963,NA,NA,NA,0.3157894736842105,NA,1,0.41817904993909866,0.4836956521739131,0.8,0.2646632124352331,NA,0.25,0.459033772527639,NA,NA,0.01,0.5925925925925926,NA,0.1666666603088379,NA,0.46031746031746035,NA,0.6562499809265137,0.5657378740970073,0.16666666666666666,0.6356185487598213,0.4326530612244898,0.44144848690921457,NA,0.48142105263157897,NA,NA,0.5838509316770186,NA,NA,NA,0.01,0.5900000000000001,0.043604651162790706,0.32042253521126757,NA,0.4025,0.4654312932271956,NA,0.2222222222222222,0.11215347942386612,0.4,0.6666666666666666,NA,0.7415053763440861
ATG,Antigua and Barbuda,0,0.5549999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7866666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28300000000000003,NA,0.5260869565217392,0.4494382022471911,0.8333333333333334,NA,NA,0.5847826086956522,NA,0.5615384615384615,0.3787878787878788,NA,0.5645569620253165,0.4585365853658536,0.4876404494382023,NA,NA,NA,NA,NA,0.5873417721518986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6525000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6836734693877552,NA,0.7065217391304347,0.6755555555555556,NA,NA,NA,0.5934065934065935,NA,NA,NA,0.8719999999999999,NA,NA,0.2708333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.8152173913043479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8444444444444444,NA,NA,NA,0.8333333333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555,0.23255813953488372,0.5577464788732394,NA,0.586,NA,NA,NA,NA,0.225,NA,NA,NA
ARB,Arab World,1,0.3475000000000001,0.510560567963319,0.41458395025170275,0.5474699893633187,0.48657237936772046,0.45663622526636227,0.5626814231638853,0.3659241706161137,0.44519822282980176,0.4,NA,0.47666666666666674,0.25,0.24074074074074076,0.3,0.2806259600614439,0.3383333333333333,0.25,0.3422619034947992,0.5834,0.385,0.5,0.429166666625,NA,0.45108695652173914,0.41348314606741576,0.3333333333333333,0.5409937888198758,0.31481481481481477,0.44130434782608696,NA,0.41025641025641024,0.4242424242424242,0.764,0.4177215189873418,0.38780487804878044,0.3550561797752809,0.38052722422720847,0.4552880481513327,0.5041903158278009,0.3333333333333333,NA,0.37974683544303794,0.4096774193548387,0.3333333333333333,NA,NA,0.8333333587646484,0.16708333015441895,0.4511238497510937,0.3333333333333333,0.33949456362033503,0.08833333333333333,NA,0.503125,0.3333333333333333,0.33,0.5,0.5555555555555556,0.13888888676961264,0.7583333333333333,0.7464212678936606,0.5841889117043122,0.5931034482758621,0.9230158730158731,0.7271448663853728,0.7873786407766992,0.08833333333333333,0.4629629629629629,0.25,0.18518518518518517,0.3290816326530612,0.41161021814006893,0.4630434782608696,0.45111111111111113,0.44982689041547597,0.4116753411168941,0.4683333333333334,0.4043956043956044,0.4308334572903913,0.331,1,0.38666666666666666,NA,NA,0.41145833333333337,0.45003625815808557,0.41304345900710504,0.4583333206176758,0.375,0.47807018882349916,0.2222222222222222,NA,0.3333333333333333,0.6,0.5263157894736842,0.5,1,0.5022228989037758,0.4282608695652174,0.7,0.2545077720207254,0.01,0.75,0.49479024685748907,0.16666666666666666,0.08833333333333333,0.29166666030883787,0.6666666666666667,0.17166666666666666,0.8222222137451172,0.16666666666666666,0.47936507936507944,0.6247165532879819,0.6250000190734863,0.7086687306501548,0.16666666666666666,0.34953011862578964,0.5054919528787124,0.41558993539612377,0.5,0.4065394736842105,NA,0.5,0.677536231884058,0.17166666666666666,0.25,0.25,0.5,0.5975,0.26046511627906976,0.41901408450704225,0.4,0.355,0.3868197833746574,NA,0.12962962962962965,NA,0.3,0.5625,NA,0.502645161915851
