Country,Clean_Names,Changed
Cote d'Ivoire,Côte d'Ivoire,1
Congo,"Congo, Rep.",1
Democratic Republic of Congo,"Congo, Dem. Rep.",1
Cape Verde,Cabo Verde,1
Cuba,Cuba,1
Egypt,"Egypt, Arab Rep.",1
Gambia,"Gambia, The",1
Iran,"Iran, Islamic Rep.",1
South Korea,South Korea,1
Laos,Lao PDR,1
North Korea,North Korea,1
Russia,Russian Federation,1
Syria,Syrian Arab Republic,1
Turkey,Türkiye,1
Taiwan,"Taiwan, China",1
Venezuela,"Venezuela, RB",1
Yemen,"Yemen, Rep.",1
Yugoslavia,Serbia,1
